mar01001|En marzo de 1808, y cuando habían transcurrido cuatro meses desde que empecé a trabajar en el oficio de cajista, ya componía con mediana destreza, y ganaba tres reales por ciento de líneas en la imprenta del Diario de Madrid.|En marzo de mil ochocientos ocho, y cuando habian transcurrido cuatro meses desde que empece a trabajar en el oficio de cajista, ya componia con mediana destreza, y ganaba tres reales por ciento de lineas en la imprenta del Diario de Madrid.
mar01002|No me parecía muy bien aplicada mi laboriosidad, ni de gran porvenir la carrera tipográfica;|No me parecia muy bien aplicada mi laboriosidad, ni de gran porvenir la carrera tipografica;
mar01003|pues aunque toda ella estriba en el manejo de las letras, más tiene de embrutecedora que de instructiva.|pues aunque toda ella estriba en el manejo de las letras, mas tiene de embrutecedora que de instructiva.
mar01004|Así es, que sin dejar el trabajo ni aflojar mi persistente aplicación, buscaba con el pensamiento horizontes más lejanos y esfera más honrosa que aquella de nuestra limitada, oscura y sofocante imprenta.|Asi es, que sin dejar el trabajo ni aflojar mi persistente aplicacion, buscaba con el pensamiento horizontes mas lejanos y esfera mas honrosa que aquella de nuestra limitada, oscura y sofocante imprenta.
mar01005|Mi vida al principio era tan triste y tan uniforme como aquel oficio, que en sus rudimentos esclaviza la inteligencia sin entretenerla;|Mi vida al principio era tan triste y tan uniforme como aquel oficio, que en sus rudimentos esclaviza la inteligencia sin entretenerla;
mar01006|pero cuando había adquirido alguna práctica en tan fastidiosa manipulación, mi espíritu aprendió a quedarse libre, mientras las veinte y cinco letras, escapándose por entre mis dedos, pasaban de la caja al molde.|pero cuando habia adquirido alguna practica en tan fastidiosa manipulacion, mi espiritu aprendio a quedarse libre, mientras las veinte y cinco letras, escapandose por entre mis dedos, pasaban de la caja al molde.
mar01007|Bastábame, pues, aquella libertad para soportar con paciencia la esclavitud del sótano en que trabajábamos, el fastidio de la composición, y las impertinencias de nuestro regente, un negro y tiznado cíclope, más propio de una herrería que de una imprenta.|Bastabame, pues, aquella libertad para soportar con paciencia la esclavitud del sotano en que trabajabamos, el fastidio de la composicion, y las impertinencias de nuestro regente, un negro y tiznado ciclope, mas propio de una herreria que de una imprenta.
mar01008|Necesito explicarme mejor.|Necesito explicarme mejor.
mar01009|Yo pensaba en la huérfana Inés, y todos los organismos de mi vida espiritual describían sus amplias órbitas alrededor de la imagen de mi discreta amiga, como los mundos subalternos que voltean sin cesar en torno del astro que es base del sistema.|Yo pensaba en la huerfana Ines, y todos los organismos de mi vida espiritual describian sus amplias orbitas alrededor de la imagen de mi discreta amiga, como los mundos subalternos que voltean sin cesar en torno del astro que es base del sistema.
mar01010|Cuando mis compañeros de trabajo hablaban de sus amores o de sus trapicheos, yo, necesitando comunicarme con alguien, les contaba todo sin hacerme de rogar, diciéndoles:|Cuando mis companeros de trabajo hablaban de sus amores o de sus trapicheos, yo, necesitando comunicarme con alguien, les contaba todo sin hacerme de rogar, diciendoles:
mar01011|—Mi amiga está en Aranjuez con su reverendo tío, el padre D.Celestino Santos del Malvar, uno de los mejores latinos que ha echado Dios al mundo.|--Mi amiga esta en Aranjuez con su reverendo tio, el padre D.Celestino Santos del Malvar, uno de los mejores latinos que ha echado Dios al mundo.
mar01012|La infeliz Inés es huérfana y pobre;|La infeliz Ines es huerfana y pobre;
mar01013|pero no por eso dejará de ser mi mujer, con la ayuda de Dios, que hace grandes a los pequeños.|pero no por eso dejara de ser mi mujer, con la ayuda de Dios, que hace grandes a los pequenos.
mar01014|Tiene diez y seis años, es decir, uno menos que yo, y es tan linda, que avergüenza con su carita a todas las rosas del Real Sitio.|Tiene diez y seis anos, es decir, uno menos que yo, y es tan linda, que averguenza con su carita a todas las rosas del Real Sitio.
mar01015|Pero, díganme Vds., señores, ¿qué vale su hermosura comparada con su talento? Inés es un asombro, es un portento;|Pero, diganme Vds., senores, ?que vale su hermosura comparada con su talento? Ines es un asombro, es un portento;
mar01016|Inés vale más que todos los sabios, sin que nadie la haya enseñado nada: todo lo saca de su cabeza, y todo lo aprendió hace cientos de miles de años.|Ines vale mas que todos los sabios, sin que nadie la haya ensenado nada: todo lo saca de su cabeza, y todo lo aprendio hace cientos de miles de anos.
mar01017|Cuando no me ocupaba en estas alabanzas, departía mentalmente con ella.|Cuando no me ocupaba en estas alabanzas, departia mentalmente con ella.
mar01018|En tanto las letras pasaban por mi mano, trocándose de brutal y muda materia en elocuente lenguaje escrito.|En tanto las letras pasaban por mi mano, trocandose de brutal y muda materia en elocuente lenguaje escrito.
mar01019|¡Cuánta animación en aquella masa caótica! En la caja, cada signo parecía representar los elementos de la creación, arrojados aquí y allí, antes de empezar la grande obra.|!Cuanta animacion en aquella masa caotica! En la caja, cada signo parecia representar los elementos de la creacion, arrojados aqui y alli, antes de empezar la grande obra.
mar01020|Poníalos yo en movimiento, y de aquellos pedazos de plomo surgían sílabas, voces, ideas, juicios, frases, oraciones, períodos, párrafos, capítulos, discursos, la palabra humana en toda su majestad;|Ponialos yo en movimiento, y de aquellos pedazos de plomo surgian silabas, voces, ideas, juicios, frases, oraciones, periodos, parrafos, capitulos, discursos, la palabra humana en toda su majestad;
mar01021|y después, cuando el molde había hecho su papel mecánico, mis dedos lo descomponían, distribuyendo las letras:|y despues, cuando el molde habia hecho su papel mecanico, mis dedos lo descomponian, distribuyendo las letras:
mar01022|cada cual se iba a su casilla, como los simples que el químico guarda después de separados;|cada cual se iba a su casilla, como los simples que el quimico guarda despues de separados;
mar01023|los caracteres perdían su sentido, es decir, su alma, y tornando a ser plomo puro, caían mudos e insignificantes en la caja.|los caracteres perdian su sentido, es decir, su alma, y tornando a ser plomo puro, caian mudos e insignificantes en la caja.
mar01024|¡Aquellos pensamientos y este mecanismo todas las horas, todos los días, semana tras semana, mes tras mes! Verdad es que las alegrías, el inefable gozo de los domingos compensaban todas las tristezas y angustiosas cavilaciones de los demás días.|!Aquellos pensamientos y este mecanismo todas las horas, todos los dias, semana tras semana, mes tras mes! Verdad es que las alegrias, el inefable gozo de los domingos compensaban todas las tristezas y angustiosas cavilaciones de los demas dias.
mar01025|¡Ah!, permitid a mi ancianidad que se extasíe con tales recuerdos;|!Ah!, permitid a mi ancianidad que se extasie con tales recuerdos;
mar01026|permitid a esta negra nube que se alboroce y se ilumine traspasada por un rayo de sol.|permitid a esta negra nube que se alboroce y se ilumine traspasada por un rayo de sol.
mar01027|Los sábados eran para mí de una belleza incomparable:|Los sabados eran para mi de una belleza incomparable:
mar01028|su luz me parecía más clara, su ambiente más puro;|su luz me parecia mas clara, su ambiente mas puro;
mar01029|y en tanto ¿quién podía dudar que los rostros de las gentes eran más alegres, y el aspecto de la ciudad más alegre también?|y en tanto ?quien podia dudar que los rostros de las gentes eran mas alegres, y el aspecto de la ciudad mas alegre tambien?
mar01030|Pero la alegría no estaba sino en el alma.|Pero la alegria no estaba sino en el alma.
mar01031|El sábado es el precursor del domingo, y a eso del medio día comenzaban mis preparativos de viaje, de aquel viaje al cielo, que mi imaginación renueva hoy, sesenta y cinco años después.|El sabado es el precursor del domingo, y a eso del medio dia comenzaban mis preparativos de viaje, de aquel viaje al cielo, que mi imaginacion renueva hoy, sesenta y cinco anos despues.
mar01032|Aún me parece que estoy tratando con los trajineros de la calle Angosta de San Bernardo sobre las condiciones del viaje:|Aun me parece que estoy tratando con los trajineros de la calle Angosta de San Bernardo sobre las condiciones del viaje:
mar01033|me ajusto al fin y no puedo menos de disertar un buen rato con ellos acerca de las probabilidades de que tengamos una hermosa noche para la expedición.|me ajusto al fin y no puedo menos de disertar un buen rato con ellos acerca de las probabilidades de que tengamos una hermosa noche para la expedicion.
mar01034|En seguida me lavo una, dos, tres, cuatro veces, hasta que desaparezcan de mi cara y manos las últimas huellas de la aborrecida tinta, y me paseo por Madrid esperando que llegue la noche.|En seguida me lavo una, dos, tres, cuatro veces, hasta que desaparezcan de mi cara y manos las ultimas huellas de la aborrecida tinta, y me paseo por Madrid esperando que llegue la noche.
mar01035|Duermo un poco;|Duermo un poco;
mar01036|si la inquietud me lo permite, y cuando el reló[1] del Buen Suceso da las doce campanadas más alegres que han retumbado en mi cerebro, me visto a toda prisa con mi traje nuevo;|si la inquietud me lo permite, y cuando el relo[uno] del Buen Suceso da las doce campanadas mas alegres que han retumbado en mi cerebro, me visto a toda prisa con mi traje nuevo;
mar01037|corro al lado de aquellos buenos arrieros, que son sin disputa los mejores hombres de la tierra, subo al carromato, y ya estoy en viaje.|corro al lado de aquellos buenos arrieros, que son sin disputa los mejores hombres de la tierra, subo al carromato, y ya estoy en viaje.
mar01038|Con voluble atención observo todos los accidentes del camino, y mis preguntas marean y enfadan a los conductores.|Con voluble atencion observo todos los accidentes del camino, y mis preguntas marean y enfadan a los conductores.
mar01039|Pasamos el puente de Toledo, dejamos a derecha mano los caminos de Carabanchel y de Toledo, el portazgo de las Delicias, el ventorrillo de León;|Pasamos el puente de Toledo, dejamos a derecha mano los caminos de Carabanchel y de Toledo, el portazgo de las Delicias, el ventorrillo de Leon;
mar01040|las ventas de Villaverde van quedando a nuestra espalda;|las ventas de Villaverde van quedando a nuestra espalda;
mar01041|dejamos a la derecha los caminos de Getafe y de Parla, |dejamos a la derecha los caminos de Getafe y de Parla, 
mar01042|y en la venta de Pinto descansan un poco las caballerías.|y en la venta de Pinto descansan un poco las caballerias.
mar01043|Valdemoro nos ve pasar por su augusto recinto, y la casa de Postas de Espartinas ofrece nuevo descanso a las perezosas mulas.|Valdemoro nos ve pasar por su augusto recinto, y la casa de Postas de Espartinas ofrece nuevo descanso a las perezosas mulas.
mar01044|Por fin nos amanece bajando la cuesta de la Reina, desde donde la vista abarca toda la extensión del inmenso valle en que se juntan Tajo y Jarama;|Por fin nos amanece bajando la cuesta de la Reina, desde donde la vista abarca toda la extension del inmenso valle en que se juntan Tajo y Jarama;
mar01045|atravesamos el famoso puente largo, entramos más tarde en la calle larga, y al fin ponemos el pie en la plaza del Real Sitio.|atravesamos el famoso puente largo, entramos mas tarde en la calle larga, y al fin ponemos el pie en la plaza del Real Sitio.
mar01046|Mis miradas buscan entre los árboles y sobre las techumbres la modesta torre de la iglesia.|Mis miradas buscan entre los arboles y sobre las techumbres la modesta torre de la iglesia.
mar01047|Corro allá.|Corro alla.
mar01048|El Sr. D. Celestino está en la misa, que por ser día festivo es cantada.|El Sr. D. Celestino esta en la misa, que por ser dia festivo es cantada.
mar01049|Desde la puerta oigo la voz del tío de Inés, que exclama gloria in excelsis Deo.|Desde la puerta oigo la voz del tio de Ines, que exclama gloria in excelsis Deo.
mar01050|Yo también canto gloria en voz baja y entro en la iglesia.|Yo tambien canto gloria en voz baja y entro en la iglesia.
mar01051|Una alegría solemne y grave que da idea de la bienaventuranza eterna llena aquel recinto y se reproduce en mi alma como en un espejo.|Una alegria solemne y grave que da idea de la bienaventuranza eterna llena aquel recinto y se reproduce en mi alma como en un espejo.
mar01052|Los vidrios incoloros permiten que entre abundante luz y que se desparrame por la bóveda desnuda, sin más pinturas que las del yeso mate.|Los vidrios incoloros permiten que entre abundante luz y que se desparrame por la boveda desnuda, sin mas pinturas que las del yeso mate.
mar01053|El altar mayor es todo oro, los santos y retablos todo polvo;|El altar mayor es todo oro, los santos y retablos todo polvo;
mar01054|en el primero veo al santo varón, que se vuelve hacia el pueblo y abre sus brazos;|en el primero veo al santo varon, que se vuelve hacia el pueblo y abre sus brazos;
mar01055|después consume, suenan las campanillas dentro y las campanas fuera;|despues consume, suenan las campanillas dentro y las campanas fuera;
mar01056|se arrodillan todos, golpeándose el pecho pecador.|se arrodillan todos, golpeandose el pecho pecador.
mar01057|El oficio adelanta y concluye:|El oficio adelanta y concluye:
mar01058|durante él he mirado sin cesar los grupos de mujeres sentadas en el suelo, y de espaldas a mí:|durante el he mirado sin cesar los grupos de mujeres sentadas en el suelo, y de espaldas a mi:
mar01059|entre aquellos centenares de mantillas negras, distingo la que cubre la hermosa cabeza de Inés:|entre aquellos centenares de mantillas negras, distingo la que cubre la hermosa cabeza de Ines:
mar01060|la conocería entre mil.|la conoceria entre mil.
mar01061|Inés se levanta cuando todo ha concluido, y sus ojos me buscan entre los hombres, como los míos la buscan entre las mujeres.|Ines se levanta cuando todo ha concluido, y sus ojos me buscan entre los hombres, como los mios la buscan entre las mujeres.
mar01062|Por fin me ve, nos vemos;|Por fin me ve, nos vemos;
mar01063|pero no nos decimos una palabra.|pero no nos decimos una palabra.
mar01064|La ofrezco agua bendita, y salimos.|La ofrezco agua bendita, y salimos.
mar01065|Parece que nuestras primeras palabras al vernos juntos han de ser arrebatadas y vehementes;|Parece que nuestras primeras palabras al vernos juntos han de ser arrebatadas y vehementes;
mar01066|pero no decimos cosa alguna que no sea insignificante.|pero no decimos cosa alguna que no sea insignificante.
mar01067|Nos reímos de todo.|Nos reimos de todo.
mar01068|La casa está a espalda de la iglesia, y entramos en ella cogidos de las manos.|La casa esta a espalda de la iglesia, y entramos en ella cogidos de las manos.
mar01069|Hay un patio con un ancho corredor, en cuyos gruesos pilares retuerce sus brazos negros, ásperos y leñosos una vieja parra, junto a un jazmín que aguarda la primavera para echar al mundo sus mil flores.|Hay un patio con un ancho corredor, en cuyos gruesos pilares retuerce sus brazos negros, asperos y lenosos una vieja parra, junto a un jazmin que aguarda la primavera para echar al mundo sus mil flores.
mar01070|Subimos, y allí nos recibe D. Celestino, cuyo cuerpo no se cubre ya con la sotana verdinegra de antaño, sino con otra flamante.|Subimos, y alli nos recibe D. Celestino, cuyo cuerpo no se cubre ya con la sotana verdinegra de antano, sino con otra flamante.
mar01071|Comemos juntos, y luego los tres, Inés y yo delante, él detrás apoyándose en su bastón, nos vamos a pasear al jardín del Príncipe, si hace buen tiempo y los pisos están secos.|Comemos juntos, y luego los tres, Ines y yo delante, el detras apoyandose en su baston, nos vamos a pasear al jardin del Principe, si hace buen tiempo y los pisos estan secos.
mar01072|Inés y yo charlamos con los ojos o con las palabras;|Ines y yo charlamos con los ojos o con las palabras;
mar01073|pero no quiero referir ahora nuestros poemas.|pero no quiero referir ahora nuestros poemas.
mar01074|A cada instante el padre Celestino nos dice que no andemos tan aprisa, porque no puede seguirnos, y nosotros, que desearíamos volar, detenemos el paso.|A cada instante el padre Celestino nos dice que no andemos tan aprisa, porque no puede seguirnos, y nosotros, que deseariamos volar, detenemos el paso.
mar01075|Por último, nos sentamos a orillas del río, y en el sitio en que el Tajo y el Jarama, encontrándose de improviso, y cuando seguramente el uno no tenía noticias de la existencia del otro, se abrazan y confunden sus aguas en una sola corriente, haciendo de dos vidas una sola.|Por ultimo, nos sentamos a orillas del rio, y en el sitio en que el Tajo y el Jarama, encontrandose de improviso, y cuando seguramente el uno no tenia noticias de la existencia del otro, se abrazan y confunden sus aguas en una sola corriente, haciendo de dos vidas una sola.
mar02001|He recordado días tan felices, y ahora me corresponde contar lo que me pasó en uno de aquellos viajes.|He recordado dias tan felices, y ahora me corresponde contar lo que me paso en uno de aquellos viajes.
mar02002|No se olvide que he empezado mi narración en marzo de 1808, y cuando yo había honrado el Real Sitio con diez o doce de mis visitas.|No se olvide que he empezado mi narracion en marzo de mil ochocientos ocho, y cuando yo habia honrado el Real Sitio con diez o doce de mis visitas.
mar02003|En el día a que me refiero, llegué cuando la misa había concluido, y desde el portal de la casa un armonioso son de flauta me anunció que D. Celestino estaba tan alegre como de costumbre, señal de que nada desagradable ocurría en la modesta familia.|En el dia a que me refiero, llegue cuando la misa habia concluido, y desde el portal de la casa un armonioso son de flauta me anuncio que D. Celestino estaba tan alegre como de costumbre, senal de que nada desagradable ocurria en la modesta familia.
mar02004|Inés salió a recibirme, y hechos los primeros cumplidos, me dijo:|Ines salio a recibirme, y hechos los primeros cumplidos, me dijo:
mar02005|—El tío Celestino ha recibido una carta de Madrid, que le ha puesto muy alegre.|--El tio Celestino ha recibido una carta de Madrid, que le ha puesto muy alegre.
mar02006|—¿De quién? —pregunté.|--?De quien? --pregunte.
mar02007|—No me lo ha dicho su merced, ni tampoco lo que la carta reza;|--No me lo ha dicho su merced, ni tampoco lo que la carta reza;
mar02008|pero él está contento y… dice que la carta trae muy buenas noticias para mí.|pero el esta contento y... dice que la carta trae muy buenas noticias para mi.
mar02009|—Eso es particular —añadí confundido—.|--Eso es particular --anadi confundido--.
mar02010|¿Quién puede escribir desde Madrid cartas que a ti te traigan buenas noticias?|?Quien puede escribir desde Madrid cartas que a ti te traigan buenas noticias?
mar02011|—No sé; pero pronto saldremos de dudas —repuso Inés—.|--No se; pero pronto saldremos de dudas --repuso Ines--.
mar02012|El tío me dijo:|El tio me dijo:
mar02013|«Cuando venga Gabriel y nos sentemos a la mesa, os contaré lo que dice la carta.|<<Cuando venga Gabriel y nos sentemos a la mesa, os contare lo que dice la carta.
mar02014|Es cosa que interesa a los tres:|Es cosa que interesa a los tres:
mar02015|a ti principalmente, porque eres la favorecida, a mí porque soy tu tío, y a él porque va a ser tu novio cuando tenga edad para ello».|a ti principalmente, porque eres la favorecida, a mi porque soy tu tio, y a el porque va a ser tu novio cuando tenga edad para ello>>.
mar02016|No hablamos más del caso, y entré en el cuarto del buen sacerdote y humanista.|No hablamos mas del caso, y entre en el cuarto del buen sacerdote y humanista.
mar02017|Una cama cubierta de blanquísima colcha pintada de verdes ramos ocupaba el primer puesto en el reducido local.|Una cama cubierta de blanquisima colcha pintada de verdes ramos ocupaba el primer puesto en el reducido local.
mar02018|La mesa de pino con dos o tres sillas que le servían de simétrica compañía, llenaba el resto, y aún quedaba espacio para una cómoda estrambótica, con chapas y remiendos de diversos palos y metales.|La mesa de pino con dos o tres sillas que le servian de simetrica compania, llenaba el resto, y aun quedaba espacio para una comoda estrambotica, con chapas y remiendos de diversos palos y metales.
mar02019|Completaban tan modesto ajuar un crucifijo y una virgen vestida de terciopelo, y acribillada de espadas y rayos, ambas imágenes con sendos ramos de carrasca o de olivo clavados en varios agujeritos que para el caso tenían las peanas.|Completaban tan modesto ajuar un crucifijo y una virgen vestida de terciopelo, y acribillada de espadas y rayos, ambas imagenes con sendos ramos de carrasca o de olivo clavados en varios agujeritos que para el caso tenian las peanas.
mar02020|Los libros, que eran muchos, no cubrían por el orden de su colocación más que media mesa y media cómoda, dejando hueco para algunos papeles de música y otros en que borrajeaba versos latinos el buen cura.|Los libros, que eran muchos, no cubrian por el orden de su colocacion mas que media mesa y media comoda, dejando hueco para algunos papeles de musica y otros en que borrajeaba versos latinos el buen cura.
mar02021|Desde la ventana se veía un huerto no mal cultivado, y a lo lejos las elevadas puntas de aquellos olmos eminentes que guarnecen como hileras de gigantescos centinelas todas las avenidas del Real Sitio.|Desde la ventana se veia un huerto no mal cultivado, y a lo lejos las elevadas puntas de aquellos olmos eminentes que guarnecen como hileras de gigantescos centinelas todas las avenidas del Real Sitio.
mar02022|Tal era la habitación del padre Celestino.|Tal era la habitacion del padre Celestino.
mar02023|Sentámonos los tres, y el tío de Inés me dijo:|Sentamonos los tres, y el tio de Ines me dijo:
mar02024|—Gabrielillo:|--Gabrielillo:
mar02025|tengo que leerte una poesía latina que he compuesto en loor del serenísimo señor príncipe de la Paz, mi paisano, amigo y aun creo que pariente.|tengo que leerte una poesia latina que he compuesto en loor del serenisimo senor principe de la Paz, mi paisano, amigo y aun creo que pariente.
mar02026|Me ha costado una semanita de trabajo;|Me ha costado una semanita de trabajo;
mar02027|que componer versos latinos no es soplar buñuelos.|que componer versos latinos no es soplar bunuelos.
mar02028|Verás, te la voy a leer, pues aunque tú no eres hombre de letras, qué sé yo… tienes un pícaro gancho para comprender las cosas… Luego pienso enviarla a Sánchez Barbero, el primero de los poetas españoles desde que hay poesía en España; y no me hablen a mí de fray Luis de León, de Rioja, de Herrera, ni de todos esos que compusieron en romance.|Veras, te la voy a leer, pues aunque tu no eres hombre de letras, que se yo... tienes un picaro gancho para comprender las cosas... Luego pienso enviarla a Sanchez Barbero, el primero de los poetas espanoles desde que hay poesia en Espana; y no me hablen a mi de fray Luis de Leon, de Rioja, de Herrera, ni de todos esos que compusieron en romance.
mar02029|Fruslerías y juegos de chicos.|Fruslerias y juegos de chicos.
mar02030|Un verso latino de Sánchez Barbero vale más que toda esa jerga de epístolas, sonetos, silvas, églogas, canciones con que se emboba el vulgo ignorante… Pero vuelvo a lo que decía, y es que antes que aquel fénix de los modernos ingenios la examine, quiero leértela a ti a ver qué te parece.|Un verso latino de Sanchez Barbero vale mas que toda esa jerga de epistolas, sonetos, silvas, eglogas, canciones con que se emboba el vulgo ignorante... Pero vuelvo a lo que decia, y es que antes que aquel fenix de los modernos ingenios la examine, quiero leertela a ti a ver que te parece.
mar02031|—Pero, Sr. D. Celestino, si yo no sé ni una palabra en latín, a no ser Dominus vobiscum y bóbilis bóbilis.|--Pero, Sr. D. Celestino, si yo no se ni una palabra en latin, a no ser Dominus vobiscum y bobilis bobilis.
mar02032|—Eso no importa. Precisamente los profanos son los que mejor pueden apreciar la armonía, la rimbombancia, el cre rotundo, con que tales versos deben escribirse —dijo el clérigo con tenacidad implacable.|--Eso no importa. Precisamente los profanos son los que mejor pueden apreciar la armonia, la rimbombancia, el cre rotundo, con que tales versos deben escribirse --dijo el clerigo con tenacidad implacable.
mar02033|Inés me dirigió una mirada en que me recomendaba, con su habitual sabiduría, la abnegación y la paciencia para soportar al prójimo impertinente.|Ines me dirigio una mirada en que me recomendaba, con su habitual sabiduria, la abnegacion y la paciencia para soportar al projimo impertinente.
mar02034|Ambos prestamos atención, y D. Celestino nos leyó unos cuatrocientos versos, que sonaban en mi oído como una serie de modulaciones sin sentido.|Ambos prestamos atencion, y D. Celestino nos leyo unos cuatrocientos versos, que sonaban en mi oido como una serie de modulaciones sin sentido.
mar02035|Él parecía muy satisfecho, y a cada instante interrumpía su lectura para decirnos:|El parecia muy satisfecho, y a cada instante interrumpia su lectura para decirnos:
